"TIMEOUT","CIRC_ID","STREAM_ID","LAUNCH","STARTED","USED_AT","COMPLETE_MS","COMPLETE_MS_USEDAT","REQUEST_MS","RESPONSE_MS","DATARREQUEST_MS","DATARESPONSE_MS","DATACOMPLETE_MS","TROUGHPUT_KBproSEC_Download","TROUGHPUT_KBproSEC","PATH"
FALSE,111,215,2014-10-22 00:17:55,2014-10-22 00:27:54,2014-10-22 00:28:11,16411.06,16412.08,0.33,455.9,455.98,867.56,16411.06,320.9009277879,311.9909965062,"$AFB6F20275AC1E174DEDED6E1FC6A9C4768ED5F5, $865B981F646FD0118BAA80D118F7E6679C9B4EA7, $8844D87E9B038BE3270938F05AF797E1D3C74C0F, $79CF377F0ACEC5F0002D85335E4192B34202A269"
FALSE,113,227,2014-10-22 00:37:55,2014-10-22 00:55:54,2014-10-22 00:56:18,23883.96,23884.93,0.42,480.09,480.47,2291.47,23883.96,218.7707720024,214.3735281927,"$311CD4E799044F054731571C1E0C24E1F901140F, $FFA72BD683BC2FCF988356E6BEC1E490F313FB07, $5A542457A67E86DC0F564DAEEF30420A49BCCFBE, $2991DF0CAFBDAC53147492FC8C5EFD3D0E4C92A4"
FALSE,112,228,2014-10-22 00:27:55,2014-10-22 01:05:54,2014-10-22 01:06:09,14598.49,14599.48,0.89,213.82,214.29,430.6,14598.49,355.945933542,350.7423977622,"$84F8007D6E33E26EB689E40A65183CBDD5538955, $1C90D3AEADFF3BCD079810632C8B85637924A58E, $33C95069A3B03D9294DB5389CEAA55709FDDE071, $4D56CF317A860C226209490684C3BBF1BCC97548"
FALSE,116,230,2014-10-22 01:05:55,2014-10-22 01:15:54,2014-10-22 01:16:08,13212.74,13214.25,0.33,497.51,497.66,924.55,13212.74,402.6715715946,387.5145540712,"$D755661C6655192F5DCFA48F34B00436B9258FD3, $B65CD9C13350C4269DDE8BE700B5A00EE799E692, $A705EFD586626F690A71A215E6233D7E8581C374, $2C289C7F9A303E3A10341368B10A457EC7B2B8D1"
FALSE,117,233,2014-10-22 01:15:55,2014-10-22 01:25:55,2014-10-22 01:26:11,15943.23,15945.16,0.32,330.32,330.43,590.47,15943.23,327.9359078601,321.1458461839,"$F1A9693176A7C61B874EFD04584BA38E69118665, $D3AFE6D29CDAFD08324F9F14A19179BBF58D0C2C, $12AD30E5D25AA67F519780E2111E611A455FDC89, $527ED954F9E7800AB00BCE366542CB074B42DD2A"
FALSE,118,234,2014-10-22 01:25:55,2014-10-22 01:35:55,2014-10-22 01:36:15,19613.5,19614.74,0.31,230.48,230.58,442.78,19613.5,264.150154385,261.0489193619,"$9CD77810A49B52A333666689B334447DCAD40591, $02CE5A748B1C68ABE6419DCA991212271BF23B17, $D7EBC3E592A6BC3F9DDCB471185BC28C038BCCE7, $4C4C145D632DA31C20D4CE10829756F34C0D3EE8"
FALSE,119,236,2014-10-22 01:35:56,2014-10-22 01:45:55,2014-10-22 01:46:11,15213.38,15214.17,0.32,556.24,556.33,807.13,15213.38,349.3199506683,336.5529989545,"$64846B8BAEDB6234FEB18E18124CC9C9C279C254, $B2AD9F131145E8A65E5E3CFD1D00C32CAC8F27F4, $FD8A91FE9598919D2A2C2136882CDD2012FD2924, $E1E922A20AF608728824A620BADC6EFC8CB8C2B8"
FALSE,120,239,2014-10-22 01:45:56,2014-10-22 01:55:56,2014-10-22 01:56:21,24887.67,24889.02,0.35,407.31,407.39,800.41,24887.67,209.1479760486,205.7273279852,"$19F570C7C3F355040CEE61C89D5467D390E6EDD0, $5EF740BB88C75915F8316DFEC8F1C8631FF26F12, $BAACCB29197DB833F107E410E2BFAE5009EE7583, $575B40EF095A0F2B13C83F8485AFC56453817ABF"
FALSE,122,240,2014-10-22 02:05:57,2014-10-22 02:05:56,2014-10-22 02:06:12,15514.2,15514.54,0.31,10730.18,10730.29,10869.59,15514.2,1070.2538308049,330.0268570774,"$72302D1D0BB2C2667DC7DC5E4DA138B547D5C115, $F596E1B1EF98E1DDBBDC934DB722AF54069868F6, $21346CFF5462E49185AA39778441EE9F912EF668, $E1E922A20AF608728824A620BADC6EFC8CB8C2B8"
FALSE,123,244,2014-10-22 02:06:07,2014-10-22 02:25:57,2014-10-22 02:26:05,7821.12,7822.51,0.32,1297.27,1297.34,1464.81,7821.12,784.8220356965,654.664500801,"$72302D1D0BB2C2667DC7DC5E4DA138B547D5C115, $A82A47254A40E0D9D5164A3719AF61D12AA99C70, $F73B3830B42FEFBA61524A7A3D99CFD83C57E3C9, $72A4E600D86B49E7FB8F1C3EE78158824A904267"
FALSE,124,255,2014-10-22 02:16:06,2014-10-22 02:35:57,2014-10-22 02:36:04,6549.62,6550.79,0.34,220.65,221.11,457.18,6549.62,809.037228292,781.7656991741,"$0EC34BCBDDF05FA055A7753F9154A18B6B12FDAB, $43021D98AC4B2EC960233E5B4D7032BE450E6241, $EC116BCB80565A408CE67F8EC3FE3B0B02C3A065, $2576BFB02654F8C7EE7F8A4E2F746E4D03F67DD5"
FALSE,128,256,2014-10-22 02:36:02,2014-10-22 02:45:57,2014-10-22 02:46:06,8159.29,8160.84,0.39,276.68,276.79,607.13,8159.29,649.5406234673,627.5359577177,"$CEF77136F1CF939D44D18F4B9E3D8AE3656C6CBF, $40F32747DA9C12CF59B7CAF2EA0FA918528C993B, $72F1EC41046F290AD53F6DF513942A1E1649EDAF, $88906028D51EA38360B52E91F8E3DDB3A15CA450"
FALSE,129,259,2014-10-22 02:45:58,2014-10-22 02:55:58,2014-10-22 02:56:21,22930.31,22931.74,0.31,613.38,613.5,1286.31,22930.31,229.423482416,223.2882401149,"$9C823407CE8D1880F34187E6E2F9CA341B1EB238, $DA01B8894CC1D0D55FDCB90547415240F1A197AE, $A22352FD385067470752ECE795BF3E06F255AABA, $4E021F36F95EDD4F93F824020E3C5BFEA7B595CC"
FALSE,130,260,2014-10-22 02:55:58,2014-10-22 03:05:58,2014-10-22 03:06:32,33659.64,33661.35,0.31,492.6,492.75,868.75,33659.64,154.370782816,152.1123471864,"$844AE9CAD04325E955E2BE1521563B79FE7094B7, $C85EAD9E5D9B3CF9E853C23C85EC1EC95D253DAB, $F4873B3EC3325B81DC36C7E38AD3A5ED12B2F339, $BC630CBBB518BE7E9F4E09712AB0269E9DC7D626"
FALSE,132,262,2014-10-22 03:06:04,2014-10-22 03:15:58,2014-10-22 03:16:20,21272.75,21274.45,0.36,1467.77,1467.84,1952.44,21272.75,258.521866289,240.6876884224,"$ED4DFC75F330AEE8064353147E6780294B2F350C, $8EFF8B75AB43CEC31F116EA92C178BFF9BB3C027, $E99B122BAAC1C009E7CE9F3DBBDA5E909A9F198F, $EF8AFB7F6A040CBE0ABA2C5A76BE04D84524C56B"
FALSE,134,265,2014-10-22 03:16:03,2014-10-22 03:25:59,2014-10-22 03:26:18,18881.53,18882.64,0.31,554.09,554.17,1078.54,18881.53,279.3637362598,271.1689185309,"$AA1B026EE0C8A958E29C67C7D8885FF27572269D, $E10ACBEDF815271CC82D6EFAEB680E770ED82655, $44EBBF17171FBC1E86C8DE9BA3C8F6E325036DDC, $52E0064773A9FCFAF48817AED289EE651F55F6BC"
FALSE,136,267,2014-10-22 03:36:00,2014-10-22 03:38:46,2014-10-22 03:38:51,4967.86,4968.86,0.32,218.98,219.57,393.08,4967.86,1078.2826880559,1030.6925058654,"$5A16F7E31B26F286889F20027F57A5E253AF3F23, $B567E8E39641F61091C1F2CAAAF73D3D1BF9CFE1, $169019BFFECBBB9A35878BCF4C7AE1FF37AD8452, $2F57987F3942BA0BBD706D623F1FF86A896842C2"
FALSE,135,268,2014-10-22 03:25:59,2014-10-22 03:48:46,2014-10-22 03:49:47,60760.19,60761.26,0.33,548.48,548.65,795.52,60760.19,85.033523385,84.2661516911,"$587E0A9552E4274B251F29B5B2673D38442EE4BF, $B71CFEB11D541D40D9C6EB74F296BB897AD0903F, $D43274BF742652D1375CE8A6671007E3665F5A79, $E73BA0BE63E50593606CA9F0B26A17ABA0E5DC64"
FALSE,137,279,2014-10-22 03:48:47,2014-10-22 03:58:46,2014-10-22 03:58:58,11416.85,11418,0.32,438.55,438.98,854.26,11416.85,466.3927550992,448.4726357962,"$4C7BF55B1BFF47993DFF995A2926C89C81E4F04A, $42E7CA20936DB50A762AC8BE6D12D79AC91A560E, $A75F5FFA71CE66E81F1424FEDECA38601F18677C, $5E87B10B430BA4D9ADF1E1F01E69D3A137FB63C9"
FALSE,140,281,2014-10-22 03:58:47,2014-10-22 04:08:46,2014-10-22 04:08:54,7015.71,7016.61,0.32,276.15,276.65,544.24,7015.71,759.7497593938,729.8244187815,"$6B8FC389CD2DFEB23AD721175E810040DE9D324E, $632A94DE1C354F67ADFB59E516D1DAB7D8777794, $14419131033443AE6E21DA82B0D307F7CAE42BDB, $38367556C70C24D4DD47C587D40C0993EFC3FDEA"
